query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.6464576721191406,pmc_001995::chunk_00024,pmc_001995,"The quantal theory of how the immune system discriminates between ""self and non-self""",The Regulation of IL2R Gene Expression,PMC000xxxxxx/PMC544850.xml,The Regulation of IL2R Gene Expression
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.6772670149803162,pmc_000800::chunk_00007,pmc_000800,A human in vitro model system for investigating genome-wide host responses to SARS coronavirus infection,Methods,PMC000xxxxxx/PMC518965.xml,". The results were represented as the logarithmic ratio of gene expression between the viral infected samples and their corresponding negative controls at the various time points. Application of these filters resulted in the inclusion of ~12,900 of the total ~19,200 gene features in subsequent analyses. To discover pat"
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.6866024732589722,pmc_001632::chunk_00005,pmc_001632,Neuroanatomical organization of gonadotropin-releasing hormone neurons during the oestrus cycle in the ewe,Results,PMC000xxxxxx/PMC535905.xml,"Plasma hormones Because there are some individual variations in the response to the induction of ovulation treatment (oestrus onset, preovulatory LH surge onset, etc.), an analysis of plasma hormone concentration was carried out to confirm the allocation of animals to experimental groups according to the characteristic"
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.6920227408409119,pmc_002628::chunk_00001,pmc_002628,Can Blood Gene Expression Predict Which Patients with Multiple Sclerosis Will Respond to Interferon?,Gene Expression Patterns in Affected Organs,PMC000xxxxxx/PMC549584.xml,Gene Expression Patterns in Affected Organs
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.7168354988098145,pmc_000001::chunk_00002,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,"Human malaria is caused by four species of the parasitic protozoan genus Plasmodium . Of these four species, Plasmodium falciparum is responsible for the vast majority of the 300–500 million episodes of malaria worldwide and accounts for 0.7–2.7 million annual deaths. In many endemic countries, malaria is responsible f"
cancer apoptosis p53 cell cycle,1,0.44143837690353394,pmc_001159::chunk_00014,pmc_001159,Leptin receptor in the chicken ovary: potential involvement in ovarian dysfunction of ad libitum-fed broiler breeder hens,Discusssion,PMC000xxxxxx/PMC524505.xml,Discusssion
cancer apoptosis p53 cell cycle,2,0.5550442934036255,pmc_001840::chunk_00025,pmc_001840,Assessment of possible impact of a health promotion program in Korea from health risk trends in a longitudinally observed cohort,Authors' Contributions,PMC000xxxxxx/PMC543445.xml,"Authors' Contributions JP carried out the analyses and drafted the manuscript. SHJ collected, cleaned the data and provided initial analyses. DWE participated in the design of the analyses and provided revisions. All authors read and approved the final manuscript."
cancer apoptosis p53 cell cycle,3,0.6317933797836304,pmc_000583::chunk_00018,pmc_000583,The effect of hypertensive disorders in pregnancy on small for gestational age and stillbirth: a population based study,Authors' contributions,PMC000xxxxxx/PMC515178.xml,"Authors' contributions VMA proposed the study, carried out the preliminary analyses and wrote the paper. All authors discussed the analyses, contributed to the intellectual content of the paper and approved the final version. VMA and KEM provided the maternal-fetal medicine perspective, KSJ provided the general medical"
cancer apoptosis p53 cell cycle,4,0.6539821624755859,pmc_001030::chunk_00017,pmc_001030,A population-based statistical approach identifies parameters characteristic of human microRNA-mRNA interactions,Authors' contributions,PMC000xxxxxx/PMC523849.xml,"Authors' contributions NS contributed biological expertise, whereas VT contributed statistical and computational expertise. The analyses were carried out together, and both authors read and approved the final manuscript."
cancer apoptosis p53 cell cycle,5,0.6853572726249695,pmc_001400::chunk_00020,pmc_001400,Mapping the brain's orchestration during speech comprehension: task-specific facilitation of regional synchrony in neural networks,Authors' contributions,PMC000xxxxxx/PMC529443.xml,"Authors' contributions MH developed the experimental design, carried out the experimental study and developed and accomplished the data analyses, BR supervised the study and composed the paper, AK advised and assisted the SS-design and SSF analysis, CW supervised the MEG measurements and advised the coherence analyses,"
