raw_query,clean_query,entity_count,entities_json,expanded_terms,vector_query,bge_query,keyword_query_json,where_filter_json,filter_plan_json,terminology_sources,warnings,status
二甲双胍对心血管疾病有何影响？,二甲双胍对心血管疾病有何影响,2,"[{""text"": ""二甲双胍"", ""normalized"": ""metformin"", ""entity_type"": ""drug"", ""start"": 0, ""end"": 4, ""synonyms"": [""dimethylbiguanide"", ""glucophage""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""心血管疾病"", ""normalized"": ""cardiovascular disease"", ""entity_type"": ""disease"", ""start"": 5, ""end"": 10, ""synonyms"": [""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""metformin"", ""dimethylbiguanide"", ""glucophage"", ""cardiovascular disease"", ""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""]",二甲双胍 metformin 心血管疾病 cardiovascular disease dimethylbiguanide glucophage CVD cardiovascular outcome cardiovascular disorder,Represent this question for searching relevant passages: 二甲双胍 metformin 心血管疾病 cardiovascular disease dimethylbiguanide glucophage CVD cardiovascular outcome cardiovascular disorder,"{""required_terms"": [""metformin"", ""cardiovascular disease""], ""optional_terms"": [""dimethylbiguanide"", ""glucophage"", ""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""], ""entity_terms"": {""drug"": [""metformin""], ""disease"": [""cardiovascular disease""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""fallback_seed""]",[],ok
MI treatment,MI treatment,2,"[{""text"": ""MI"", ""normalized"": ""myocardial infarction"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 2, ""synonyms"": [""heart attack"", ""mi""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""treatment"", ""normalized"": ""Therapeutics"", ""entity_type"": ""mesh_descriptor"", ""start"": 3, ""end"": 12, ""synonyms"": [""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""concept_id"": ""MESH:D013812"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""E02""]}]","[""myocardial infarction"", ""heart attack"", ""mi"", ""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""]",MI myocardial infarction treatment Therapeutics heart attack Therapeutic Therapy Therapies Treatments,Represent this question for searching relevant passages: MI myocardial infarction treatment Therapeutics heart attack Therapeutic Therapy Therapies Treatments,"{""required_terms"": [""myocardial infarction"", ""Therapeutics""], ""optional_terms"": [""heart attack"", ""mi"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""entity_terms"": {""drug"": [], ""disease"": [""myocardial infarction"", ""Therapeutics""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH"", ""fallback_seed""]",[],ok
myocardial infarction treatment,myocardial infarction treatment,2,"[{""text"": ""myocardial infarction"", ""normalized"": ""Myocardial Infarction"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 21, ""synonyms"": [""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attack"", ""Heart Attacks""], ""concept_id"": ""MESH:D009203"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C14.280.647.500"", ""C14.907.585.500"", ""C23.550.513.355.750"", ""C23.550.717.489.750""]}, {""text"": ""treatment"", ""normalized"": ""Therapeutics"", ""entity_type"": ""mesh_descriptor"", ""start"": 22, ""end"": 31, ""synonyms"": [""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""concept_id"": ""MESH:D013812"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""E02""]}]","[""Myocardial Infarction"", ""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attack"", ""Heart Attacks"", ""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""]","myocardial infarction treatment Therapeutics Infarction, Myocardial Infarctions, Myocardial Myocardial Infarctions Heart Attack Heart Attacks Therapeutic Therapy Therapies Treatments","Represent this question for searching relevant passages: myocardial infarction treatment Therapeutics Infarction, Myocardial Infarctions, Myocardial Myocardial Infarctions Heart Attack Heart Attacks Therapeutic Therapy Therapies Treatments","{""required_terms"": [""Myocardial Infarction"", ""Therapeutics""], ""optional_terms"": [""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attack"", ""Heart Attacks"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""entity_terms"": {""drug"": [], ""disease"": [""Myocardial Infarction"", ""Therapeutics""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH""]",[],ok
heart attack aspirin mortality,heart attack aspirin mortality,3,"[{""text"": ""heart attack"", ""normalized"": ""Myocardial Infarction"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 12, ""synonyms"": [""Myocardial Infarction"", ""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attacks""], ""concept_id"": ""MESH:D009203"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C14.280.647.500"", ""C14.907.585.500"", ""C23.550.513.355.750"", ""C23.550.717.489.750""]}, {""text"": ""aspirin"", ""normalized"": ""Aspirin"", ""entity_type"": ""mesh_descriptor"", ""start"": 13, ""end"": 20, ""synonyms"": [""Solprin"", ""Polopirin"", ""Solupsan"", ""Easprin"", ""Zorprin""], ""concept_id"": ""MESH:D001241"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""D02.455.426.559.389.657.410.595.176""]}, {""text"": ""mortality"", ""normalized"": ""Mortality"", ""entity_type"": ""mesh_descriptor"", ""start"": 21, ""end"": 30, ""synonyms"": [""Mortality, Differential"", ""Mortality, Excess"", ""Mortality Determinants"", ""Case Fatality Rate"", ""Decline, Mortality""], ""concept_id"": ""MESH:D009026"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""E05.318.308.985.550"", ""N01.224.935.698"", ""N06.850.505.400.975.550"", ""N06.850.520.308.985.550""]}]","[""Myocardial Infarction"", ""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attacks"", ""Aspirin"", ""Solprin"", ""Polopirin"", ""Solupsan"", ""Easprin"", ""Zorprin"", ""Mortality"", ""Mortality, Differential"", ""Mortality, Excess"", ""Mortality Determinants"", ""Case Fatality Rate"", ""Decline, Mortality""]","heart attack Myocardial Infarction aspirin mortality Infarction, Myocardial Infarctions, Myocardial Myocardial Infarctions Heart Attacks Solprin Polopirin Solupsan Easprin Zorprin Mortality, Differential Mortality, Excess Mortality Determinants Case Fatality Rate Decline, Mortality","Represent this question for searching relevant passages: heart attack Myocardial Infarction aspirin mortality Infarction, Myocardial Infarctions, Myocardial Myocardial Infarctions Heart Attacks Solprin Polopirin Solupsan Easprin Zorprin Mortality, Differential Mortality, Excess Mortality Determinants Case Fatality Rate Decline, Mortality","{""required_terms"": [""Myocardial Infarction"", ""Aspirin"", ""Mortality""], ""optional_terms"": [""Infarction, Myocardial"", ""Infarctions, Myocardial"", ""Myocardial Infarctions"", ""Heart Attacks"", ""Solprin"", ""Polopirin"", ""Solupsan"", ""Easprin"", ""Zorprin"", ""Mortality, Differential"", ""Mortality, Excess"", ""Mortality Determinants"", ""Case Fatality Rate"", ""Decline, Mortality""], ""entity_terms"": {""drug"": [], ""disease"": [""Myocardial Infarction"", ""Aspirin"", ""Mortality""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH""]",[],ok
EGFR mutation lung cancer treatment,EGFR mutation lung cancer treatment,4,"[{""text"": ""EGFR"", ""normalized"": ""EGFR"", ""entity_type"": ""gene/protein"", ""start"": 0, ""end"": 4, ""synonyms"": [""epidermal growth factor receptor""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""mutation"", ""normalized"": ""Mutation"", ""entity_type"": ""mesh_descriptor"", ""start"": 5, ""end"": 13, ""synonyms"": [""Mutations""], ""concept_id"": ""MESH:D009154"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""G05.365.590""]}, {""text"": ""lung cancer"", ""normalized"": ""Lung Neoplasms"", ""entity_type"": ""mesh_descriptor"", ""start"": 14, ""end"": 25, ""synonyms"": [""Lung Neoplasms"", ""Neoplasms, Pulmonary"", ""Neoplasm, Pulmonary"", ""Pulmonary Neoplasm"", ""Pulmonary Neoplasms""], ""concept_id"": ""MESH:D008175"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C04.588.894.797.520"", ""C08.381.540"", ""C08.785.520""]}, {""text"": ""treatment"", ""normalized"": ""Therapeutics"", ""entity_type"": ""mesh_descriptor"", ""start"": 26, ""end"": 35, ""synonyms"": [""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""concept_id"": ""MESH:D013812"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""E02""]}]","[""EGFR"", ""epidermal growth factor receptor"", ""Mutation"", ""Mutations"", ""Lung Neoplasms"", ""Neoplasms, Pulmonary"", ""Neoplasm, Pulmonary"", ""Pulmonary Neoplasm"", ""Pulmonary Neoplasms"", ""Therapeutics"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""]","EGFR mutation lung cancer Lung Neoplasms treatment Therapeutics epidermal growth factor receptor Mutations Neoplasms, Pulmonary Neoplasm, Pulmonary Pulmonary Neoplasm Pulmonary Neoplasms Therapeutic Therapy Therapies Treatments","Represent this question for searching relevant passages: EGFR mutation lung cancer Lung Neoplasms treatment Therapeutics epidermal growth factor receptor Mutations Neoplasms, Pulmonary Neoplasm, Pulmonary Pulmonary Neoplasm Pulmonary Neoplasms Therapeutic Therapy Therapies Treatments","{""required_terms"": [""Mutation"", ""Lung Neoplasms"", ""Therapeutics"", ""EGFR""], ""optional_terms"": [""epidermal growth factor receptor"", ""Mutations"", ""Neoplasms, Pulmonary"", ""Neoplasm, Pulmonary"", ""Pulmonary Neoplasm"", ""Pulmonary Neoplasms"", ""Therapeutic"", ""Therapy"", ""Therapies"", ""Treatments""], ""entity_terms"": {""drug"": [], ""disease"": [""Mutation"", ""Lung Neoplasms"", ""Therapeutics""], ""gene_protein"": [""EGFR""], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH"", ""fallback_seed""]",[],ok
HIV reverse transcriptase inhibitor resistance,HIV reverse transcriptase inhibitor resistance,2,"[{""text"": ""HIV reverse transcriptase"", ""normalized"": ""HIV Reverse Transcriptase"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 25, ""synonyms"": [""Transcriptase, HIV Reverse"", ""Reverse Transcriptase, HIV"", ""Reverse Transcriptase, Human Immunodeficiency Virus""], ""concept_id"": ""MESH:D054303"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""D08.811.913.696.445.308.300.750.187"", ""D12.776.964.775.375.545.875"", ""D12.776.964.775.375.750.187"", ""D12.776.964.775.562.764.875"", ""D12.776.964.900.750.500.545.875"", ""D12.776.964.900.750.500.750.187"", ""D12.776.964.970.600.850.375.545.875"", ""D12.776.964.970.600.850.375.750.187""]}, {""text"": ""resistance"", ""normalized"": ""resistance"", ""entity_type"": ""outcome"", ""start"": 36, ""end"": 46, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""HIV Reverse Transcriptase"", ""Transcriptase, HIV Reverse"", ""Reverse Transcriptase, HIV"", ""Reverse Transcriptase, Human Immunodeficiency Virus"", ""resistance""]","HIV reverse transcriptase resistance Transcriptase, HIV Reverse Reverse Transcriptase, HIV Reverse Transcriptase, Human Immunodeficiency Virus","Represent this question for searching relevant passages: HIV reverse transcriptase resistance Transcriptase, HIV Reverse Reverse Transcriptase, HIV Reverse Transcriptase, Human Immunodeficiency Virus","{""required_terms"": [""HIV Reverse Transcriptase""], ""optional_terms"": [""Transcriptase, HIV Reverse"", ""Reverse Transcriptase, HIV"", ""Reverse Transcriptase, Human Immunodeficiency Virus"", ""resistance""], ""entity_terms"": {""drug"": [], ""disease"": [""HIV Reverse Transcriptase""], ""gene_protein"": [], ""method"": [], ""outcome"": [""resistance""]}}",null,{},"[""MeSH"", ""fallback_seed""]",[],ok
type 2 diabetes insulin sensitivity after 2010,type 2 diabetes insulin sensitivity after 2010,2,"[{""text"": ""type 2 diabetes"", ""normalized"": ""Diabetes Mellitus, Type 2"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 15, ""synonyms"": [""Diabetes Mellitus, Type 2"", ""Diabetes Mellitus, Adult-Onset"", ""Adult-Onset Diabetes Mellitus"", ""Diabetes Mellitus, Adult Onset"", ""Diabetes Mellitus, Ketosis-Resistant""], ""concept_id"": ""MESH:D003924"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C18.452.394.750.149"", ""C19.246.300""]}, {""text"": ""insulin sensitivity"", ""normalized"": ""Insulin Resistance"", ""entity_type"": ""mesh_descriptor"", ""start"": 16, ""end"": 35, ""synonyms"": [""Insulin Resistance"", ""Resistance, Insulin"", ""Sensitivity, Insulin""], ""concept_id"": ""MESH:D007333"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C18.452.394.968.500"", ""G07.690.773.984.617""]}]","[""Diabetes Mellitus, Type 2"", ""Diabetes Mellitus, Adult-Onset"", ""Adult-Onset Diabetes Mellitus"", ""Diabetes Mellitus, Adult Onset"", ""Diabetes Mellitus, Ketosis-Resistant"", ""Insulin Resistance"", ""Resistance, Insulin"", ""Sensitivity, Insulin""]","type 2 diabetes Diabetes Mellitus, Type 2 insulin sensitivity Insulin Resistance Diabetes Mellitus, Adult-Onset Adult-Onset Diabetes Mellitus Diabetes Mellitus, Adult Onset Diabetes Mellitus, Ketosis-Resistant Resistance, Insulin Sensitivity, Insulin","Represent this question for searching relevant passages: type 2 diabetes Diabetes Mellitus, Type 2 insulin sensitivity Insulin Resistance Diabetes Mellitus, Adult-Onset Adult-Onset Diabetes Mellitus Diabetes Mellitus, Adult Onset Diabetes Mellitus, Ketosis-Resistant Resistance, Insulin Sensitivity, Insulin","{""required_terms"": [""Diabetes Mellitus, Type 2"", ""Insulin Resistance""], ""optional_terms"": [""Diabetes Mellitus, Adult-Onset"", ""Adult-Onset Diabetes Mellitus"", ""Diabetes Mellitus, Adult Onset"", ""Diabetes Mellitus, Ketosis-Resistant"", ""Resistance, Insulin"", ""Sensitivity, Insulin""], ""entity_terms"": {""drug"": [], ""disease"": [""Diabetes Mellitus, Type 2"", ""Insulin Resistance""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,"{""pub_year_gte"": ""2010"", ""where_compatibility_note"": ""pub_year is a Chroma string; apply range after retrieval or verify string-range support.""}","[""MeSH""]",[],ok
PLoS ONE breast cancer gene expression,PLoS ONE breast cancer gene expression,2,"[{""text"": ""breast cancer"", ""normalized"": ""Breast Neoplasms"", ""entity_type"": ""mesh_descriptor"", ""start"": 9, ""end"": 22, ""synonyms"": [""Breast Neoplasms"", ""Mammary Neoplasms, Human"", ""Breast Carcinoma"", ""Mammary Carcinoma, Human"", ""Breast Neoplasm""], ""concept_id"": ""MESH:D001943"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""C04.588.180"", ""C17.800.090.500""]}, {""text"": ""gene expression"", ""normalized"": ""Gene Expression"", ""entity_type"": ""mesh_descriptor"", ""start"": 23, ""end"": 38, ""synonyms"": [""Expression, Gene"", ""Expressions, Gene"", ""Gene Expressions""], ""concept_id"": ""MESH:D015870"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""G05.297""]}]","[""Breast Neoplasms"", ""Mammary Neoplasms, Human"", ""Breast Carcinoma"", ""Mammary Carcinoma, Human"", ""Breast Neoplasm"", ""Gene Expression"", ""Expression, Gene"", ""Expressions, Gene"", ""Gene Expressions""]","breast cancer Breast Neoplasms gene expression Mammary Neoplasms, Human Breast Carcinoma Mammary Carcinoma, Human Breast Neoplasm Expression, Gene Expressions, Gene Gene Expressions","Represent this question for searching relevant passages: breast cancer Breast Neoplasms gene expression Mammary Neoplasms, Human Breast Carcinoma Mammary Carcinoma, Human Breast Neoplasm Expression, Gene Expressions, Gene Gene Expressions","{""required_terms"": [""Breast Neoplasms"", ""Gene Expression""], ""optional_terms"": [""Mammary Neoplasms, Human"", ""Breast Carcinoma"", ""Mammary Carcinoma, Human"", ""Breast Neoplasm"", ""Expression, Gene"", ""Expressions, Gene"", ""Gene Expressions""], ""entity_terms"": {""drug"": [], ""disease"": [""Breast Neoplasms"", ""Gene Expression""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}","{""journal"": ""PLoS ONE""}","{""journal"": ""PLoS ONE""}","[""MeSH""]",[],ok
SARS coronavirus spike protein,SARS coronavirus spike protein,2,"[{""text"": ""SARS coronavirus"", ""normalized"": ""Severe acute respiratory syndrome-related coronavirus"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 16, ""synonyms"": [""Severe acute respiratory syndrome-related coronavirus"", ""Sarbecovirus"", ""SARS-CoV"", ""Severe acute respiratory syndrome related coronavirus"", ""HCoV-SARS""], ""concept_id"": ""MESH:D045473"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""B04.820.578.500.540.150.113.937""]}, {""text"": ""protein"", ""normalized"": ""Proteins"", ""entity_type"": ""mesh_descriptor"", ""start"": 23, ""end"": 30, ""synonyms"": [""Proteins"", ""Gene Products, Protein"", ""Protein Gene Products"", ""Gene Proteins"", ""Proteins, Gene""], ""concept_id"": ""MESH:D011506"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""D12.776""]}]","[""Severe acute respiratory syndrome-related coronavirus"", ""Sarbecovirus"", ""SARS-CoV"", ""Severe acute respiratory syndrome related coronavirus"", ""HCoV-SARS"", ""Proteins"", ""Gene Products, Protein"", ""Protein Gene Products"", ""Gene Proteins"", ""Proteins, Gene""]","SARS coronavirus Severe acute respiratory syndrome-related coronavirus protein Proteins Sarbecovirus SARS-CoV Severe acute respiratory syndrome related coronavirus HCoV-SARS Gene Products, Protein Protein Gene Products Gene Proteins Proteins, Gene","Represent this question for searching relevant passages: SARS coronavirus Severe acute respiratory syndrome-related coronavirus protein Proteins Sarbecovirus SARS-CoV Severe acute respiratory syndrome related coronavirus HCoV-SARS Gene Products, Protein Protein Gene Products Gene Proteins Proteins, Gene","{""required_terms"": [""Severe acute respiratory syndrome-related coronavirus"", ""Proteins""], ""optional_terms"": [""Sarbecovirus"", ""SARS-CoV"", ""Severe acute respiratory syndrome related coronavirus"", ""HCoV-SARS"", ""Gene Products, Protein"", ""Protein Gene Products"", ""Gene Proteins"", ""Proteins, Gene""], ""entity_terms"": {""drug"": [], ""disease"": [""Severe acute respiratory syndrome-related coronavirus"", ""Proteins""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH""]",[],ok
PCR DNA amplification,PCR DNA amplification,2,"[{""text"": ""PCR"", ""normalized"": ""Polymerase Chain Reaction"", ""entity_type"": ""mesh_descriptor"", ""start"": 0, ""end"": 3, ""synonyms"": [""Polymerase Chain Reaction"", ""Anchored PCR"", ""Inverse PCR"", ""Nested Polymerase Chain Reaction"", ""Polymerase Chain Reactions""], ""concept_id"": ""MESH:D016133"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""E05.393.620.500""]}, {""text"": ""DNA"", ""normalized"": ""DNA"", ""entity_type"": ""mesh_descriptor"", ""start"": 4, ""end"": 7, ""synonyms"": [""DNA, Double-Stranded"", ""Deoxyribonucleic Acid"", ""DNA, Double Stranded"", ""Double-Stranded DNA"", ""ds-DNA""], ""concept_id"": ""MESH:D004247"", ""source"": ""MeSH"", ""mesh_record_type"": ""descriptor"", ""tree_numbers"": [""D13.444.308""]}]","[""Polymerase Chain Reaction"", ""Anchored PCR"", ""Inverse PCR"", ""Nested Polymerase Chain Reaction"", ""Polymerase Chain Reactions"", ""DNA"", ""DNA, Double-Stranded"", ""Deoxyribonucleic Acid"", ""DNA, Double Stranded"", ""Double-Stranded DNA"", ""ds-DNA""]","PCR Polymerase Chain Reaction DNA Anchored PCR Inverse PCR Nested Polymerase Chain Reaction Polymerase Chain Reactions DNA, Double-Stranded Deoxyribonucleic Acid DNA, Double Stranded Double-Stranded DNA ds-DNA","Represent this question for searching relevant passages: PCR Polymerase Chain Reaction DNA Anchored PCR Inverse PCR Nested Polymerase Chain Reaction Polymerase Chain Reactions DNA, Double-Stranded Deoxyribonucleic Acid DNA, Double Stranded Double-Stranded DNA ds-DNA","{""required_terms"": [""Polymerase Chain Reaction"", ""DNA""], ""optional_terms"": [""Anchored PCR"", ""Inverse PCR"", ""Nested Polymerase Chain Reaction"", ""Polymerase Chain Reactions"", ""DNA, Double-Stranded"", ""Deoxyribonucleic Acid"", ""DNA, Double Stranded"", ""Double-Stranded DNA"", ""ds-DNA""], ""entity_terms"": {""drug"": [], ""disease"": [""Polymerase Chain Reaction"", ""DNA""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},"[""MeSH""]",[],ok
