query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,1,0.5530344843864441,pmc_000155::chunk_00004,pmc_000155,Chronic Wasting Disease—Prion Disease in the Wild,The Prion Diseases,PMC000xxxxxx/PMC387284.xml,The Prion Diseases
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,2,0.5785884857177734,pmc_001727::chunk_00000,pmc_001727,Gene Signatures Predict Interferon Response for MS Patients,Title and abstract,PMC000xxxxxx/PMC539062.xml,Gene Signatures Predict Interferon Response for MS Patients
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,3,0.6301031708717346,pmc_000760::chunk_00000,pmc_000760,A Mechanism of Prion Propagation,Title and abstract,PMC000xxxxxx/PMC517832.xml,A Mechanism of Prion Propagation
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,4,0.6608907580375671,pmc_000001::chunk_00000,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,5,0.6827053427696228,pmc_000157::chunk_00002,pmc_000157,Yeast Prions: Protein Aggregation Is Not Enough,Inheriting Variations,PMC000xxxxxx/PMC387287.xml,"Inheriting Variations A remarkable feature of yeast prion proteins is their ability to produce distinct inherited “variants” of the prion. For example, [PSI + ] prion could exist in several distinct forms that suppress termination of translation to different degrees. These “variants” of yeast prions are analogous to di"
pRb inactivation mammary cells tumor initiation progression,1,0.6782963275909424,pmc_000068::chunk_00000,pmc_000068,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Title and abstract,PMC000xxxxxx/PMC340938.xml,"pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia Retinoblastoma 1 (pRb) and the related pocket proteins, retinoblastoma-like 1 (p107) and retinoblastoma-like 2 (p130) (pRb f , collectively), play a pivotal role in regulating eukaryotic cell cycle pr"
pRb inactivation mammary cells tumor initiation progression,2,0.7068338990211487,pmc_002381::chunk_00021,pmc_002381,Activation of α 1A -adrenergic receptor promotes differentiation of rat-1 fibroblasts to a smooth muscle-like phenotype,Discussion,PMC000xxxxxx/PMC548263.xml,". Indeed, pRb has been found to contain a differentiation-promoting activity that is distinct from its cell-cycle progression functions [ 37 ]. More recent evidence has indicated an essential role for pRb in promoting functional synergism between MyoD and MEF2 proteins [ 38 ]. Although PE increased the expression of My"
pRb inactivation mammary cells tumor initiation progression,3,0.7070379257202148,pmc_000068::chunk_00014,pmc_000068,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Results,PMC000xxxxxx/PMC340938.xml,". The observation of four pilar tumors in p53 +/+ animals and none in p53 +/− animals is a statistically significant difference (Fisher–Freeman–Halton's exact test, p = 0.0177) and suggests that the reduction of p53 activity drives tumors to the adenocarcinoma phenotype. Taken together, these studies indicate that p53 "
pRb inactivation mammary cells tumor initiation progression,4,0.7094758749008179,pmc_000068::chunk_00019,pmc_000068,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Discussion,PMC000xxxxxx/PMC340938.xml,"Common Mechanisms for Tumor Progression in Epithelial Cells of Distinct Origin Here we report that loss of pRb family function in mammary epithelium predisposes to malignant adenocarcinoma. Using a single transgenic allele, we have thus far inactivated the pRb pathway in several cell types in the mouse: brain choroid p"
pRb inactivation mammary cells tumor initiation progression,5,0.7250410318374634,pmc_002999::chunk_00003,pmc_002999,Immunogenetics of Hashimoto's thyroiditis,Introduction,PMC000xxxxxx/PMC555850.xml,". Histological and cytological features of HT include a dense thyroidal accumulation of lymphocytes, plasma cells and occasional multinuclear giant cells. The epithelial cells are enlarged, with a distinctive eosinophilic cytoplasm, owing to increased number of mitochondria [ 10 ]. HT has been shown to often coexist wi"
type 2 diabetes high protein diet insulin concentration,1,0.6233916282653809,pmc_001051::chunk_00000,pmc_001051,Metabolic response of people with type 2 diabetes to a high protein diet,Title and abstract,PMC000xxxxxx/PMC524031.xml,Metabolic response of people with type 2 diabetes to a high protein diet Background One of the major interests in our laboratory has been to develop a scientific framework for dietary advice for patients with diabetes. Knowledge regarding the metabolic consequences and potential effects on health of protein in people w
