query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.0,pmc_000037::chunk_00000,pmc_000037,A Truly Broad View of Gene Expression Spotlights Evolution and Diversity,Title and abstract,PMC000xxxxxx/PMC300885.xml,A Truly Broad View of Gene Expression Spotlights Evolution and Diversity
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.0,pmc_001443::chunk_00000,pmc_001443,A Global View of Gene Expression in the Aging Kidney,Title and abstract,PMC000xxxxxx/PMC532400.xml,A Global View of Gene Expression in the Aging Kidney
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.0,pmc_001995::chunk_00017,pmc_001995,"The quantal theory of how the immune system discriminates between ""self and non-self""",The Quantal Regulation of IL2 Gene Expression,PMC000xxxxxx/PMC544850.xml,The Quantal Regulation of IL2 Gene Expression
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.0,pmc_001995::chunk_00024,pmc_001995,"The quantal theory of how the immune system discriminates between ""self and non-self""",The Regulation of IL2R Gene Expression,PMC000xxxxxx/PMC544850.xml,The Regulation of IL2R Gene Expression
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.14577823877334595,pmc_000182::chunk_00000,pmc_000182,Random Processes Underlie Most Evolutionary Changes in Gene Expression,Title and abstract,PMC000xxxxxx/PMC406406.xml,Random Processes Underlie Most Evolutionary Changes in Gene Expression xx
cancer apoptosis p53 cell cycle,1,0.1299152374267578,pmc_000297::chunk_00010,pmc_000297,"Novel NO-TZDs and trimethoxychalcone-based DHPMs: design, synthesis, and biological evaluation as potential VEGFR-2 inhibitors",Results and discussion,PMC000xxxxxx/PMC467104.xml,. Panel Cell Line CDHPM- SF 10a 10b 10c 10d 10e 10f 10g Leukaemia CCRF-CEM 84.56 77.44 83.74 79.66 93.98 81.72 78.52 81.4 HL-60(TB) 81.72 84.69 81.39 81.24 93.99 85.06 84.08 76.7 K-562 88.15 86.31 81.07 86.34 89.30 88.32 86.95 70.8 MOLT-4 75.56 74.53 69.60 74.52 84.77 83.03 82.68 74.2 RPMI-8226 95.97 94.50 94.74 95.02 
cancer apoptosis p53 cell cycle,2,0.1299152374267578,pmc_000297::chunk_00014,pmc_000297,"Novel NO-TZDs and trimethoxychalcone-based DHPMs: design, synthesis, and biological evaluation as potential VEGFR-2 inhibitors",Results and discussion,PMC000xxxxxx/PMC467104.xml,. Panel Cell line CDHPM- SF 10a 10b 10c 10d 10e 10f 10g Leukaemia CCRF-CEM 2.42 2.25 2.22 1.94 1.88 2.17 2.72 1.99 HL-60(TB) 1.67 2.28 2.93 2.32 2.1 2.22 1.55 1.58 K-562 2.36 2.85 4.17 3.35 2.61 3.05 3.24 3.16 MOLT-4 2.33 2.91 2.29 2.58 2.39 1.91 2.46 3.16 RPMI-8226 2.07 1.17 2.11 1.75 1.41 2.05 1.73 1.58 SR 1.85 1.97 
cancer apoptosis p53 cell cycle,3,0.18529003858566284,pmc_001719::chunk_00000,pmc_001719,Cancer in Families,Title and abstract,PMC000xxxxxx/PMC539054.xml,Cancer in Families
cancer apoptosis p53 cell cycle,4,0.24004608392715454,pmc_000297::chunk_00015,pmc_000297,"Novel NO-TZDs and trimethoxychalcone-based DHPMs: design, synthesis, and biological evaluation as potential VEGFR-2 inhibitors",Results and discussion,PMC000xxxxxx/PMC467104.xml,2.08 10.03 3.82 1.8 2.13 3.11 1.99 SK-MEL-28 2.03 1.89 3.93 2.11 1.93 1.87 2.31 2.51 SK-MEL-5 1.83 2.16 4.16 3.56 1.63 1.66 4.46 1.58 UACC-257 2.19 2.33 9.24 4.66 1.72 2.23 5.29 1.99 UACC-62 2.26 2.3 4.73 2.44 1.56 1.7 4.03 1.58 Ovarian cancer IGROV1 1.66 1.66 2.21 2.03 1.55 1.87 1.67 2.51 OVCAR-3 1.71 1.77 3.5 1.93 1.
cancer apoptosis p53 cell cycle,5,0.2465285062789917,pmc_000297::chunk_00011,pmc_000297,"Novel NO-TZDs and trimethoxychalcone-based DHPMs: design, synthesis, and biological evaluation as potential VEGFR-2 inhibitors",Results and discussion,PMC000xxxxxx/PMC467104.xml,164.66 101.21 158.01 184.01 164.46 146.57 126.7 SK-MEL-5 147.66 159.48 64.19 146.36 195.64 195.43 72.41 156.6 UACC-257 91.08 127.20 40.42 104.91 143.43 134.23 49.02 NT UACC-62 140.48 145.58 71.31 133.45 191.60 156.28 78.11 125.5 Ovarian cancer IGROV1 138.45 124.89 70.15 123.88 151.87 148.95 83.44 170.7 OVCAR-3 163.18 1
