raw_query,clean_query,entity_count,entities_json,expanded_terms,vector_query,bge_query,keyword_query_json,where_filter_json,filter_plan_json,warnings,status
二甲双胍对心血管疾病有何影响？,二甲双胍对心血管疾病有何影响,2,"[{""text"": ""二甲双胍"", ""normalized"": ""metformin"", ""entity_type"": ""drug"", ""start"": 0, ""end"": 4, ""synonyms"": [""dimethylbiguanide"", ""glucophage""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""心血管疾病"", ""normalized"": ""cardiovascular disease"", ""entity_type"": ""disease"", ""start"": 5, ""end"": 10, ""synonyms"": [""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""metformin"", ""dimethylbiguanide"", ""glucophage"", ""cardiovascular disease"", ""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""]",二甲双胍 metformin 心血管疾病 cardiovascular disease dimethylbiguanide glucophage CVD cardiovascular outcome cardiovascular disorder,Represent this question for searching relevant passages: 二甲双胍 metformin 心血管疾病 cardiovascular disease dimethylbiguanide glucophage CVD cardiovascular outcome cardiovascular disorder,"{""required_terms"": [""metformin"", ""cardiovascular disease""], ""optional_terms"": [""dimethylbiguanide"", ""glucophage"", ""CVD"", ""cardiovascular outcome"", ""cardiovascular disorder""], ""entity_terms"": {""drug"": [""metformin""], ""disease"": [""cardiovascular disease""], ""gene_protein"": [], ""method"": [], ""outcome"": []}}",null,{},[],ok
MI treatment,MI treatment,2,"[{""text"": ""MI"", ""normalized"": ""myocardial infarction"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 2, ""synonyms"": [""heart attack"", ""mi""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""treatment"", ""normalized"": ""treatment"", ""entity_type"": ""outcome"", ""start"": 3, ""end"": 12, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""myocardial infarction"", ""heart attack"", ""mi"", ""treatment""]",MI myocardial infarction treatment heart attack,Represent this question for searching relevant passages: MI myocardial infarction treatment heart attack,"{""required_terms"": [""myocardial infarction""], ""optional_terms"": [""heart attack"", ""mi"", ""treatment""], ""entity_terms"": {""drug"": [], ""disease"": [""myocardial infarction""], ""gene_protein"": [], ""method"": [], ""outcome"": [""treatment""]}}",null,{},[],ok
heart attack aspirin mortality,heart attack aspirin mortality,3,"[{""text"": ""heart attack"", ""normalized"": ""myocardial infarction"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 12, ""synonyms"": [""mi"", ""heart attack""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""aspirin"", ""normalized"": ""aspirin"", ""entity_type"": ""drug"", ""start"": 13, ""end"": 20, ""synonyms"": [""acetylsalicylic acid""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""mortality"", ""normalized"": ""mortality"", ""entity_type"": ""outcome"", ""start"": 21, ""end"": 30, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""myocardial infarction"", ""mi"", ""heart attack"", ""aspirin"", ""acetylsalicylic acid"", ""mortality""]",heart attack myocardial infarction aspirin mortality mi acetylsalicylic acid,Represent this question for searching relevant passages: heart attack myocardial infarction aspirin mortality mi acetylsalicylic acid,"{""required_terms"": [""aspirin"", ""myocardial infarction""], ""optional_terms"": [""mi"", ""heart attack"", ""acetylsalicylic acid"", ""mortality""], ""entity_terms"": {""drug"": [""aspirin""], ""disease"": [""myocardial infarction""], ""gene_protein"": [], ""method"": [], ""outcome"": [""mortality""]}}",null,{},[],ok
EGFR mutation lung cancer treatment,EGFR mutation lung cancer treatment,4,"[{""text"": ""EGFR"", ""normalized"": ""EGFR"", ""entity_type"": ""gene/protein"", ""start"": 0, ""end"": 4, ""synonyms"": [""epidermal growth factor receptor""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""mutation"", ""normalized"": ""mutation"", ""entity_type"": ""outcome"", ""start"": 5, ""end"": 13, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""lung cancer"", ""normalized"": ""lung cancer"", ""entity_type"": ""disease"", ""start"": 14, ""end"": 25, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""treatment"", ""normalized"": ""treatment"", ""entity_type"": ""outcome"", ""start"": 26, ""end"": 35, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""EGFR"", ""epidermal growth factor receptor"", ""mutation"", ""lung cancer"", ""treatment""]",EGFR mutation lung cancer treatment epidermal growth factor receptor,Represent this question for searching relevant passages: EGFR mutation lung cancer treatment epidermal growth factor receptor,"{""required_terms"": [""lung cancer"", ""EGFR""], ""optional_terms"": [""epidermal growth factor receptor"", ""mutation"", ""treatment""], ""entity_terms"": {""drug"": [], ""disease"": [""lung cancer""], ""gene_protein"": [""EGFR""], ""method"": [], ""outcome"": [""mutation"", ""treatment""]}}",null,{},[],ok
HIV reverse transcriptase inhibitor resistance,HIV reverse transcriptase inhibitor resistance,3,"[{""text"": ""HIV"", ""normalized"": ""HIV"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 3, ""synonyms"": [""human immunodeficiency virus""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""reverse transcriptase inhibitor"", ""normalized"": ""reverse transcriptase inhibitor"", ""entity_type"": ""outcome"", ""start"": 4, ""end"": 35, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""resistance"", ""normalized"": ""resistance"", ""entity_type"": ""outcome"", ""start"": 36, ""end"": 46, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""HIV"", ""human immunodeficiency virus"", ""reverse transcriptase inhibitor"", ""resistance""]",HIV reverse transcriptase inhibitor resistance human immunodeficiency virus,Represent this question for searching relevant passages: HIV reverse transcriptase inhibitor resistance human immunodeficiency virus,"{""required_terms"": [""HIV""], ""optional_terms"": [""human immunodeficiency virus"", ""reverse transcriptase inhibitor"", ""resistance""], ""entity_terms"": {""drug"": [], ""disease"": [""HIV""], ""gene_protein"": [], ""method"": [], ""outcome"": [""reverse transcriptase inhibitor"", ""resistance""]}}",null,{},[],ok
type 2 diabetes insulin sensitivity after 2010,type 2 diabetes insulin sensitivity after 2010,2,"[{""text"": ""type 2 diabetes"", ""normalized"": ""type 2 diabetes"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 15, ""synonyms"": [""type 2 diabetes mellitus"", ""T2DM""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""insulin sensitivity"", ""normalized"": ""insulin sensitivity"", ""entity_type"": ""outcome"", ""start"": 16, ""end"": 35, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""type 2 diabetes"", ""type 2 diabetes mellitus"", ""T2DM"", ""insulin sensitivity""]",type 2 diabetes insulin sensitivity type 2 diabetes mellitus T2DM,Represent this question for searching relevant passages: type 2 diabetes insulin sensitivity type 2 diabetes mellitus T2DM,"{""required_terms"": [""type 2 diabetes""], ""optional_terms"": [""type 2 diabetes mellitus"", ""T2DM"", ""insulin sensitivity""], ""entity_terms"": {""drug"": [], ""disease"": [""type 2 diabetes""], ""gene_protein"": [], ""method"": [], ""outcome"": [""insulin sensitivity""]}}",null,"{""pub_year_gte"": ""2010"", ""where_compatibility_note"": ""pub_year is a Chroma string; apply range after retrieval or verify string-range support.""}",[],ok
PLoS ONE breast cancer gene expression,PLoS ONE breast cancer gene expression,2,"[{""text"": ""breast cancer"", ""normalized"": ""breast cancer"", ""entity_type"": ""disease"", ""start"": 9, ""end"": 22, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""gene expression"", ""normalized"": ""gene expression"", ""entity_type"": ""outcome"", ""start"": 23, ""end"": 38, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""breast cancer"", ""gene expression""]",breast cancer gene expression,Represent this question for searching relevant passages: breast cancer gene expression,"{""required_terms"": [""breast cancer""], ""optional_terms"": [""gene expression""], ""entity_terms"": {""drug"": [], ""disease"": [""breast cancer""], ""gene_protein"": [], ""method"": [], ""outcome"": [""gene expression""]}}","{""journal"": ""PLoS ONE""}","{""journal"": ""PLoS ONE""}",[],ok
SARS coronavirus spike protein,SARS coronavirus spike protein,2,"[{""text"": ""SARS"", ""normalized"": ""SARS"", ""entity_type"": ""disease"", ""start"": 0, ""end"": 4, ""synonyms"": [""severe acute respiratory syndrome""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""coronavirus spike protein"", ""normalized"": ""coronavirus spike protein"", ""entity_type"": ""outcome"", ""start"": 5, ""end"": 30, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""SARS"", ""severe acute respiratory syndrome"", ""coronavirus spike protein""]",SARS coronavirus spike protein severe acute respiratory syndrome,Represent this question for searching relevant passages: SARS coronavirus spike protein severe acute respiratory syndrome,"{""required_terms"": [""SARS""], ""optional_terms"": [""severe acute respiratory syndrome"", ""coronavirus spike protein""], ""entity_terms"": {""drug"": [], ""disease"": [""SARS""], ""gene_protein"": [], ""method"": [], ""outcome"": [""coronavirus spike protein""]}}",null,{},[],ok
PCR DNA amplification,PCR DNA amplification,2,"[{""text"": ""PCR"", ""normalized"": ""PCR"", ""entity_type"": ""method"", ""start"": 0, ""end"": 3, ""synonyms"": [""polymerase chain reaction""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""DNA amplification"", ""normalized"": ""DNA amplification"", ""entity_type"": ""method"", ""start"": 4, ""end"": 21, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""PCR"", ""polymerase chain reaction"", ""DNA amplification""]",PCR DNA amplification polymerase chain reaction,Represent this question for searching relevant passages: PCR DNA amplification polymerase chain reaction,"{""required_terms"": [], ""optional_terms"": [""PCR"", ""polymerase chain reaction"", ""DNA amplification""], ""entity_terms"": {""drug"": [], ""disease"": [], ""gene_protein"": [], ""method"": [""PCR"", ""DNA amplification""], ""outcome"": []}}",null,{},[],ok
warfarin bleeding risk,warfarin bleeding risk,2,"[{""text"": ""warfarin"", ""normalized"": ""warfarin"", ""entity_type"": ""drug"", ""start"": 0, ""end"": 8, ""synonyms"": [""coumadin""], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}, {""text"": ""bleeding risk"", ""normalized"": ""bleeding risk"", ""entity_type"": ""outcome"", ""start"": 9, ""end"": 22, ""synonyms"": [], ""concept_id"": null, ""source"": ""fallback_seed"", ""mesh_record_type"": null, ""tree_numbers"": null}]","[""warfarin"", ""coumadin"", ""bleeding risk""]",warfarin bleeding risk coumadin,Represent this question for searching relevant passages: warfarin bleeding risk coumadin,"{""required_terms"": [""warfarin""], ""optional_terms"": [""coumadin"", ""bleeding risk""], ""entity_terms"": {""drug"": [""warfarin""], ""disease"": [], ""gene_protein"": [], ""method"": [], ""outcome"": [""bleeding risk""]}}",null,{},[],ok
