full_length_group,record_id,pmcid,pmid,title,journal,pub_year,full_token_len,estimated_chunks_full,section_signal,imrad_core,imrad_with_conclusion,word_count,sentence_count,avg_sentence_words,abbreviation_mentions_top10,abbreviation_density_per_1000_words,statistical_marker_mentions,top_abbreviations,top_terms
long,pmc_001693,PMC538287,15566625,An adaptogenic role for omega-3 fatty acids in stress; a randomised placebo controlled double blind intervention study (pilot) [ISRCTN22569553],Nutrition Journal,2004,7262,23,B/I+M+R+D+C,True,True,4076,245,16.62,94,23.06,105,DHA(29); PSS(24); CI(14); T2(6); SD(6); NE(5); T3(5); T1(3); VAS(1); OSI-R(1),group(82); oil(82); placebo(70); stress(69); time(54); fish(46); subjects(37); groups(33)
long,pmc_002371,PMC548144,15644143,PGF2alpha induced differential expression of genes involved in turnover of extracellular matrix in rat decidual cells,Reproductive biology and endocrinology : RB&E,2005,7698,24,B/I+M+R+D,True,False,3077,164,18.76,139,45.17,34,PGF(62); ECM(31); RNA(8); IV(8); PDC(6); II(6); TIMP2(5); SGK(5); TIMP3(4); CA(4),pgf(61); protein(45); kinase(43); genes(41); expression(35); ecm(31); cells(29); decidual(26)
long,pmc_001624,PMC535897,15560847,Prevention of genital herpes in a guinea pig model using a glycoprotein D-specific single chain antibody as a microbicide,Virology Journal,2004,7820,25,B/I+M+R+D+C,True,True,3729,185,20.15,154,41.3,29,DL11(35); HSV(34); GH(22); HSV-2(16); HSV-1(14); DL2(9); PCR(7); CEA(6); BL21(6); PFU(5),scfv(64); chain(35); hsv(33); hsv-(30); single(28); antibodies(26); antibody(24); binding(23)
long,pmc_001567,PMC535546,15555065,"Assessment of FIV-C infection of cats as a function of treatment with the protease inhibitor, TL-3",Retrovirology,2004,8709,27,B/I+M+R+D+C,True,True,4253,233,18.24,235,55.26,14,TL-3(90); FIV(31); FIV-C(23); RNA(20); HIV(19); CD8(15); PCR(11); CD4(10); D105G(9); KAN(7),tl-(94); cats(79); animals(71); viral(65); protease(42); week(41); infection(40); treated(33)
long,pmc_001629,PMC535902,15555082,"Rhodobacter capsulatus porphobilinogen synthase, a high activity metal ion independent hexamer",BMC Biochemistry,2004,10059,32,B/I+M+R+D+C,True,True,4756,335,14.09,216,45.42,45,PBGS(160); BTP(13); ALA(8); PCR(8); DNA(7); DTT(5); PDB(5); SDS-PAGE(4); DEAE(3); S-300(3),pbgs(160); capsulatus(71); enzyme(42); activity(40); sequence(32); protein(32); hexamer(29); metal(28)
long,pmc_002027,PMC544882,15627404,Bioinformatic mapping of AlkB homology domains in viruses,BMC Genomics,2005,10414,33,B/I+M+R+D+C,True,True,5582,345,16.14,208,37.26,21,MT(39); HEL(34); RNA(33); NJ(18); NCBI(17); PSI-(16); ML(15); PTGS(14); DNA(12); SJA(10),domains(137); alkb(125); sequences(63); domain(57); viruses(43); viral(43); sequence(38); rdrp(37)
long,pmc_002103,PMC545062,15634360,The Prader-Willi syndrome murine imprinting center is not involved in the spatio-temporal transcriptional regulation of the Necdin gene,BMC Genetics,2005,10749,34,B/I+M+R+D+C,True,True,4980,259,19.22,178,35.74,53,PWS(39); MBII(32); IC(28); DNA(19); BAC(13); BAC109(13); E10(10); E12(8); C57BL(8); S-5(8),ndn(159); expression(76); genes(65); mouse(44); transgenic(44); expressed(40); snurf(40); pws(39)
long,pmc_001952,PMC544578,15588280,Nanoparticles – known and unknown health risks,Journal of Nanobiotechnology,2004,11630,37,B/I+C,False,False,6275,350,17.92,25,3.98,66,PP(6); BBB(3); DNA(2); SEM(2); PLL(2); PEI(2); GIT(2); SC(2); DMAB(2); DEP(2),particles(114); nanoparticles(48); skin(45); fibres(38); surface(37); micron(34); particle(33); cells(31)
medium,pmc_001692,PMC538286,15458570,"Effect of straining on diaphragmatic crura with identification of the straining-crural reflex. The ""reflex theory"" in gastroesophageal competence",BMC Gastroenterology,2004,4168,13,B/I+M+R+D+C,True,True,2046,126,16.24,73,35.68,31,CD(40); LES(14); EMG(13); SD(2); MES(1); FM(1); MA(1); RS-3400(1),straining(53); pressure(47); crural(40); lower(35); esophageal(28); reflex(24); diaphragm(21); activity(20)
medium,pmc_001756,PMC539254,15566574,Predictors of mortality of patients with acute respiratory failure secondary to chronic obstructive pulmonary disease admitted to an intensive care unit: A one year study,BMC Pulmonary Medicine,2004,5308,17,B/I+M+R+D,True,False,2673,179,14.93,156,58.36,85,COPD(32); II(27); APACHE(25); ICU(24); SA(18); ROC(10); HCO(7); GCS(5); CI(4); PR(4),patients(90); copd(32); score(30); mortality(26); admission(25); apache(25); icu(24); outcome(23)
