query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.691393256187439,pmc_001995::chunk_00024,pmc_001995,"The quantal theory of how the immune system discriminates between ""self and non-self""",The Regulation of IL2R Gene Expression,PMC000xxxxxx/PMC544850.xml,The Regulation of IL2R Gene Expression
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.691393256187439,pmc_002628::chunk_00001,pmc_002628,Can Blood Gene Expression Predict Which Patients with Multiple Sclerosis Will Respond to Interferon?,Gene Expression Patterns in Affected Organs,PMC000xxxxxx/PMC549584.xml,Gene Expression Patterns in Affected Organs
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.6934448480606079,pmc_001589::chunk_00005,pmc_001589,G-protein inwardly rectifying potassium channel 1 (GIRK 1) gene expression correlates with tumor progression in non-small cell lung cancer,Results,PMC000xxxxxx/PMC535568.xml,"Results Detection of GIRK1 using RT-PCR in NSCLC tissues To determine the number of PCR cycles appropriate for quantification, from 20 and 50 cycles of PCR were performed, in 5-cycle increments. The expression ratios of GIRK1 to S14 were reasonably constant 35 to 45 cycles (data not shown). Therefore, in the subsequent"
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.7142856121063232,pmc_001995::chunk_00017,pmc_001995,"The quantal theory of how the immune system discriminates between ""self and non-self""",The Quantal Regulation of IL2 Gene Expression,PMC000xxxxxx/PMC544850.xml,The Quantal Regulation of IL2 Gene Expression
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.7165266275405884,pmc_001459::chunk_00033,pmc_001459,Functional characterization in Caenorhabditis elegans of transmembrane worm-human orthologs,Supplementary Material,PMC000xxxxxx/PMC533873.xml,Supplementary Material Additional File 1 Primer sequences used in RNAi and gene expression studies. Click here for file
cancer apoptosis p53 cell cycle,1,0.5527863502502441,pmc_001159::chunk_00014,pmc_001159,Leptin receptor in the chicken ovary: potential involvement in ovarian dysfunction of ad libitum-fed broiler breeder hens,Discusssion,PMC000xxxxxx/PMC524505.xml,Discusssion
cancer apoptosis p53 cell cycle,2,0.6853733062744141,pmc_000068::chunk_00000,pmc_000068,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Title and abstract,PMC000xxxxxx/PMC340938.xml,"pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia Retinoblastoma 1 (pRb) and the related pocket proteins, retinoblastoma-like 1 (p107) and retinoblastoma-like 2 (p130) (pRb f , collectively), play a pivotal role in regulating eukaryotic cell cycle pr"
cancer apoptosis p53 cell cycle,3,0.6911102533340454,pmc_000088::chunk_00002,pmc_000088,Activating p53 in Cancer Cells with Protein Therapy Shows Preclinical Promise,Body,PMC000xxxxxx/PMC340958.xml,"Late-stage cancers are notoriously unresponsive to treatment, making certain hard-to-detect cancers particularly insidious. Ovarian cancer, for example, most often escapes diagnosis until the tumor has already metastasized. At this stage, ovarian cancer is classified as peritoneal carcinomatosis, a terminal condition c"
cancer apoptosis p53 cell cycle,4,0.6979389190673828,pmc_001990::chunk_00000,pmc_001990,Nitrosative stress induces DNA strand breaks but not caspase mediated apoptosis in a lung cancer cell line,Title and abstract,PMC000xxxxxx/PMC544845.xml,Nitrosative stress induces DNA strand breaks but not caspase mediated apoptosis in a lung cancer cell line Background Key steps crucial to the process of tumor progression are genomic instability and escape from apoptosis. Nitric oxide and its interrelated reactive intermediates (collectively denoted as NO X ) have bee
cancer apoptosis p53 cell cycle,5,0.6989723443984985,pmc_000068::chunk_00010,pmc_000068,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Results,PMC000xxxxxx/PMC340938.xml,". Transgenic animals in (B) and (C) were from line 3. Role of p53 in Apoptosis To investigate the impact of germline loss of p53 on apoptosis levels in Rb f -deficient mammary glands, we mated line 3 animals to p53 null mice to generate transgenic and nontransgenic females of distinct p53 genotypes (+/+, +/−, −/−). Tra"
