query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.5554523468017578,pmc_000001::chunk_00002,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,"Human malaria is caused by four species of the parasitic protozoan genus Plasmodium . Of these four species, Plasmodium falciparum is responsible for the vast majority of the 300–500 million episodes of malaria worldwide and accounts for 0.7–2.7 million annual deaths. In many endemic countries, malaria is responsible f"
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.6000472903251648,pmc_000017::chunk_00000,pmc_000017,Microarray Analysis,Title and abstract,PMC000xxxxxx/PMC212694.xml,"Microarray Analysis Microarrays can survey genome-wide expression patterns. Not only can these gene expression profiles be used to identify a few genes of interest, they are now being creatively applied for hypothesis generation and testing"
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.6239563226699829,pmc_000004::chunk_00003,pmc_000004,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,Body,PMC000xxxxxx/PMC176548.xml,". falciparum that encode proteins of unknown function. P. falciparum appears to be ultra-streamlined and exquisitely tuned to perform a single job: consume, replicate, and invade. The simple program regulating the life of P. falciparum may hold the key to its downfall as any perturbation of the regulatory program will "
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.6325882077217102,pmc_000017::chunk_00003,pmc_000017,Microarray Analysis,Fundamental Microarray Technology,PMC000xxxxxx/PMC212694.xml,". A general approach to performing gene expression profiling experiments is indicated as a flow diagram in Figure 1 . Having performed the experiment, quality control checks, statistical analysis, and data-mining are performed. More and more, investigators are interested not just in asking how large the magnitude of an"
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.6549399495124817,pmc_000001::chunk_00026,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". A histogram of the distance values reveals a bimodal distribution with 262 ORFs in the first peak of the distribution ( Figure S4 ). This represents the top 5% of expression profiles when ranked by increasing Euclidian distance ( Table S7 ). In addition to the seven vaccine candidate genes used for the search, essent"
cancer apoptosis p53 cell cycle,1,0.7314403057098389,pmc_000001::chunk_00013,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". Similar expression characteristics were detected for the enzymes of the purine salvage pathway, including the nucleoside conversion enzymes, hypoxanthine–guanine–xanthine phosphoribosyltransferase, and both guanylate and adenylate kinases ( Figure 2 E; Table S2 ). Trophozoite and Early-Schizont Stage The mRNA express"
cancer apoptosis p53 cell cycle,2,0.7432677745819092,pmc_000004::chunk_00002,pmc_000004,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,Body,PMC000xxxxxx/PMC176548.xml,"Every year, malaria kills as many as 2.5 million people. Of these deaths, 90% occur in sub-Saharan Africa, and most are children. While four species of the single-celled organism Plasmodium cause malaria, Plasmodium falciparum is the deadliest. Harbored in mosquito saliva, the parasite infects its human host as the mos"
cancer apoptosis p53 cell cycle,3,0.7694844007492065,pmc_000001::chunk_00014,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". 2002 ), although earlier studies indicate an unconventional function for this metabolic cycle. These studies suggest that the TCA cycle does not play a major role in the oxidation of glycolytic products. Instead, it is essential for the production of several metabolic intermediates, such as succinyl-CoA, a precursor "
cancer apoptosis p53 cell cycle,4,0.8233361840248108,pmc_000009::chunk_00018,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Immunoprecipitation assay,PMC000xxxxxx/PMC212319.xml,"Immunoprecipitation assay Transfected and serum-starved HIRcB cells were washed with ice-cold PBS, scraped, and collected by centrifugation. The cell pellets were solubilized on ice for 1 hr in a solution of 50 mM Hepes, pH 7.45, containing 100 mM NaCl, 1.5% sodium cholate, 1 mM EDTA, 1 mM EGTA, 5 ug/ml leupeptin, 1 mM"
cancer apoptosis p53 cell cycle,5,0.8242335319519043,pmc_000001::chunk_00000,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
HIV antiretroviral therapy resistance,1,1.0,pmc_000002::chunk_00002,pmc_000002,DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation,Introduction,PMC000xxxxxx/PMC176546.xml,"Elephants have a very limited distribution in Borneo, being restricted to approximately 5% of the island in the extreme northeast ( Figure 1 ). There are no historical records of elephants outside of this range. Fossil evidence for the prehistoric presence of elephants on Borneo is limited to a single specimen of a too"
HIV antiretroviral therapy resistance,2,1.0,pmc_000005::chunk_00008,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Results,PMC000xxxxxx/PMC193604.xml,". These results clearly distinguish the brain from the eyes and other peripheral tissues, which rapidly lose coherent molecular oscillations under free-running conditions ( Hardin 1994 ; Plautz et al. 1997 ; Stanewsky et al. 1997 ; Giebultowicz et al. 2000 ). Although this approach failed to identify the additional neu"
HIV antiretroviral therapy resistance,3,1.0,pmc_000006::chunk_00001,pmc_000006,From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the γ-Proteobacteria,Introduction,PMC000xxxxxx/PMC193605.xml,Introduction
HIV antiretroviral therapy resistance,4,1.0,pmc_000006::chunk_00011,pmc_000006,From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the γ-Proteobacteria,Results,PMC000xxxxxx/PMC193605.xml,". Finally, an SH test performed using the complete concatenated alignment shows that this topology is significantly more likely than all alternative hypotheses. Figure 5 Tree Based on the Concatenation of the 205 Proteins (NJ) The topology shown agrees with almost all individual gene alignments (topology 5 of Figure 2 "
HIV antiretroviral therapy resistance,5,1.0,pmc_000012::chunk_00004,pmc_000012,Genetically Modified Corn— Environmental Benefits and Risks,Risky Business,PMC000xxxxxx/PMC212689.xml,". Some fear that transgenic varieties with a competitive advantage might gradually displace valuable genetic diversity. For these reasons, transgenic corn is prohibited in Mexico, home to over 100 unique varieties. Despite the ban, transgenes have been found in Mexican corn. “We have in several instances confirmed that"
diabetes insulin glucose metabolism,1,0.5317147970199585,pmc_000009::chunk_00019,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Immunoblotting,PMC000xxxxxx/PMC212319.xml,"Immunoblotting Proteins were separated by SDS-PAGE, transferred to a nitrocellulose membrane, and blocked with 5% non-fat milk in PBS containing 0.1% Tween at room temperature for 2 hrs. The membrane was then cut in half horizontally. The upper part was used to detect the β subunit of the insulin receptor with a monocl"
diabetes insulin glucose metabolism,2,0.5959281921386719,pmc_000009::chunk_00007,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Results,PMC000xxxxxx/PMC212319.xml,". HeLa cells that had been stably transfected with ARF1-GFP were transiently transfected with myc-ARNO, serum starved overnight, and treated with 100 nM insulin. Images were collected every 30 seconds using a Molecular Dynamics 2001 confocal microscope. The time intervals that were indicated on the upper right hand cor"
diabetes insulin glucose metabolism,3,0.6084111928939819,pmc_000009::chunk_00015,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Cell culture,PMC000xxxxxx/PMC212319.xml,"Cell culture Rat-1 fibroblasts overexpressing the human insulin receptors (HIRcB cells) were cultured in Dulbecco's modified Eagle's medium (DMEM)/Ham's F-12, supplemented with 10% fetal bovine serum, antibiotics, and 100 nM methotrexate, as previously described [ 20 ]. Cells were subcultured, transfected as indicated "
diabetes insulin glucose metabolism,4,0.6394533514976501,pmc_000009::chunk_00022,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,In vitro ARF activation assay,PMC000xxxxxx/PMC212319.xml,"In vitro ARF activation assay ARF activation was determined by the binding of GTPγS to the purified, myristoylated recombinant human ARF1 (mhARF1), as described by Shome and coworkers [ 23 ]. The insulin receptor was immunoprecipitated in the presence or absence of 100 nM insulin as described above. Four to 8 μg mhARF1"
diabetes insulin glucose metabolism,5,0.6662026047706604,pmc_000009::chunk_00023,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Confocal microscopy,PMC000xxxxxx/PMC212319.xml,Confocal microscopy HIRcB cells were plated on poly-L-lysine coated glass coverslips and transfected with the constructs as indicated above. Cells were serum starved overnight and stimulated with 100 nM insulin. Live cells were imaged in a LSM5 Zeiss laser scanning confocal microscope equipped with a 63X oil immersion 
inflammation cytokines immune response,1,0.6504892706871033,pmc_000018::chunk_00007,pmc_000018,V(D)J Recombination and the Evolution of the Adaptive Immune System,Conclusion,PMC000xxxxxx/PMC212695.xml,"Conclusion V(D)J recombination is absolutely crucial for the adaptive immune response. In its absence, our immune system is compromised. When it is not properly controlled, it gives rise to chromosomal translocations and B-and T-cell cancers. The elucidation of all steps of the reaction and attempts to understand exact"
inflammation cytokines immune response,2,0.7473984956741333,pmc_000017::chunk_00005,pmc_000017,Microarray Analysis,Fishing for Hypotheses,PMC000xxxxxx/PMC212694.xml,"The ability to survey transcript abundance across an ever-increasing range of conditions gives geneticists a fresh look at their cellular systems, in many cases providing a more holistic view of the biology, but at the same time feeding back into the classical hypothetico-deductive scientific framework. The technology "
inflammation cytokines immune response,3,0.7628183364868164,pmc_000014::chunk_00026,pmc_000014,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,Results,PMC000xxxxxx/PMC212691.xml,". Under these conditions, both the degradation rate and the synthesis rate are altered by the same factor, thus maintaining essentially identical steady-state concentrations of axin. As a result, the steady-state concentrations of axin are the same in the unstimulated condition ( W = 0) and after diminution of the Wnt "
inflammation cytokines immune response,4,0.7758293151855469,pmc_000014::chunk_00027,pmc_000014,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,Results,PMC000xxxxxx/PMC212691.xml,". This explains why the β-catenin signal is not only amplified, but becomes more spike-like. Increasing the turnover rate of axin affects the response of axin to temporary Wnt stimulation in a similar way as the response of β-catenin; i.e., the signal is amplified and sharpened ( Figure 6 ). Closer inspection of Figure"
inflammation cytokines immune response,5,0.8209378719329834,pmc_000014::chunk_00043,pmc_000014,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,Discussion,PMC000xxxxxx/PMC212691.xml,". Systems analysis, along with experiment, offers some hope of uncovering latent principles of design. For example, the modeling of the Wnt pathway gave a theoretical insight into the function of axin degradation in Wnt signaling. The degree of axin instability dramatically affects the amplitude and duration of the β-c"
